id,category,subcategory,text_zh,text_en,difficulty,information_value,discrimination_targets,test_phase,complexity_level,option_a_zh,option_a_en,option_b_zh,option_b_en,option_c_zh,option_c_en,option_d_zh,option_d_en,qian_coeff_a,kun_coeff_a,zhen_coeff_a,xun_coeff_a,kan_coeff_a,li_coeff_a,gen_coeff_a,dui_coeff_a,qian_coeff_b,kun_coeff_b,zhen_coeff_b,xun_coeff_b,kan_coeff_b,li_coeff_b,gen_coeff_b,dui_coeff_b,qian_coeff_c,kun_coeff_c,zhen_coeff_c,xun_coeff_c,kan_coeff_c,li_coeff_c,gen_coeff_c,dui_coeff_c,qian_coeff_d,kun_coeff_d,zhen_coeff_d,xun_coeff_d,kan_coeff_d,li_coeff_d,gen_coeff_d,dui_coeff_d
outer_017,outer_behavior,communication,"在倾听他人时，你最关注什么？","When listening to others, what do you focus on most?",0.7,0.8,"li,dui",confirmation,medium,"话语的逻辑和条理","Logic and organization of speech","情感的表达和需求","Emotional expression and needs","观点的创新和启发","Innovation and inspiration of viewpoints","信息的价值和意义","Value and meaning of information",0.6,0.4,0.6,0.5,0.6,0.9,0.4,0.6,0.4,0.6,0.4,0.6,0.5,0.6,0.7,0.8,0.6,0.4,0.7,0.5,0.8,0.6,0.5,0.5,0.4,0.7,0.6,0.8,0.7,0.8,0.8,0.9
outer_018,outer_behavior,communication,"在会议讨论中，你的角色通常是？","What is your usual role in meeting discussions?",0.8,0.9,"li,kan",confirmation,complex,"主导议程，控制节奏","Lead the agenda and control the pace","活跃气氛，促进参与","Enliven the atmosphere and promote participation","提供见解，启发思考","Provide insights and inspire thinking","记录整理，深度分析","Record, organize, and analyze deeply",0.6,0.4,0.6,0.5,0.6,0.9,0.4,0.5,0.4,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.6,0.4,0.7,0.5,0.8,0.6,0.5,0.5,0.4,0.7,0.6,0.8,0.8,0.8,0.9,0.8
outer_019,outer_behavior,adaptability,"面对变化时，你的第一反应是？","What is your first reaction when facing change?",0.8,0.9,"zhen,xun",exploration,medium,"快速适应，抓住机会","Quickly adapt and seize opportunities","灵活调整，保持平衡","Flexibly adjust and maintain balance","深入分析，理解本质","Analyze deeply and understand the essence","谨慎观察，稳步应对","Observe carefully and respond steadily",0.6,0.4,0.8,0.6,0.6,0.6,0.4,0.5,0.5,0.5,0.6,0.8,0.6,0.6,0.5,0.6,0.6,0.4,0.7,0.5,0.7,0.6,0.8,0.5,0.4,0.7,0.5,0.8,0.6,0.7,0.7,0.7
outer_020,outer_behavior,adaptability,"在不熟悉的环境中，你会？","In an unfamiliar environment, you will?",0.7,0.8,"zhen,kun",exploration,simple,"主动探索，快速融入","Actively explore and integrate quickly","观察学习，逐步适应","Observe, learn, and gradually adapt","寻找规律，建立理解","Find patterns and build understanding","寻求帮助，降低风险","Seek help and reduce risks",0.6,0.4,0.8,0.5,0.6,0.6,0.4,0.5,0.4,0.7,0.5,0.7,0.6,0.6,0.6,0.6,0.6,0.4,0.7,0.5,0.7,0.6,0.6,0.5,0.4,0.7,0.6,0.8,0.7,0.7,0.8,0.7
outer_021,outer_behavior,adaptability,"学习新技能时，你的方法是？","What is your method when learning new skills?",0.7,0.8,"zhen,li",discrimination,medium,"实践中学习，边做边学","Learn through practice, learning by doing","系统学习，打好基础","Systematic learning and building a solid foundation","理论结合实践","Combine theory with practice","寻找导师，快速提升","Find mentors for rapid improvement",0.6,0.4,0.8,0.5,0.6,0.7,0.4,0.5,0.4,0.6,0.5,0.6,0.6,0.8,0.6,0.6,0.6,0.4,0.7,0.5,0.8,0.7,0.6,0.5,0.4,0.7,0.6,0.8,0.7,0.7,0.8,0.7
outer_022,outer_behavior,adaptability,"处理突发事件时，你倾向于？","When dealing with emergencies, you tend to?",0.8,0.9,"zhen,gen",discrimination,simple,"快速决策，立即行动","Make quick decisions and take immediate action","冷静分析，稳妥处理","Analyze calmly and handle prudently","创新思考，寻找突破","Think innovatively and find breakthroughs","团队协作，集体应对","Team collaboration and collective response",0.6,0.4,0.8,0.5,0.6,0.6,0.5,0.5,0.4,0.6,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.4,0.7,0.5,0.7,0.6,0.6,0.5,0.4,0.7,0.6,0.8,0.7,0.7,0.8,0.7
outer_023,outer_behavior,adaptability,"面对技术更新时，你的态度是？","What is your attitude when facing technological updates?",0.7,0.8,"zhen,dui",confirmation,medium,"积极拥抱，快速学习","Actively embrace and learn quickly","谨慎评估，选择性采用","Carefully evaluate and selectively adopt","深入研究，理解原理","Research deeply and understand principles","关注影响，平衡利弊","Focus on impact and balance pros and cons",0.6,0.4,0.8,0.5,0.6,0.6,0.4,0.6,0.4,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.4,0.7,0.5,0.7,0.6,0.6,0.5,0.4,0.7,0.6,0.8,0.7,0.8,0.7,0.8
outer_024,outer_behavior,adaptability,"在多任务处理中，你的策略是？","What is your strategy in multitasking?",0.8,0.9,"zhen,kan",confirmation,complex,"优先级排序，逐一完成","Prioritize and complete one by one","并行处理，灵活切换","Process in parallel and switch flexibly","系统规划，统筹安排","Systematic planning and overall arrangement","团队分工，协作完成","Team division of labor and collaborative completion",0.6,0.4,0.8,0.5,0.6,0.6,0.4,0.5,0.4,0.6,0.5,0.7,0.6,0.6,0.6,0.6,0.6,0.4,0.7,0.5,0.7,0.6,0.8,0.5,0.4,0.7,0.6,0.8,0.7,0.7,0.8,0.8
outer_025,outer_behavior,mixed,"在压力下工作时，你的表现如何？","How do you perform when working under pressure?",0.8,0.9,"qian,kun,zhen,xun",exploration,complex,"更加专注，效率提升","More focused and improved efficiency","保持冷静，稳定发挥","Stay calm and perform steadily","创新思维，寻找突破","Innovative thinking and seeking breakthroughs","团队合作，共同应对","Team cooperation and joint response",0.7,0.3,0.7,0.5,0.6,0.6,0.4,0.5,0.4,0.8,0.4,0.6,0.6,0.5,0.6,0.6,0.6,0.4,0.7,0.5,0.7,0.6,0.6,0.5,0.4,0.7,0.6,0.8,0.7,0.7,0.7,0.7
outer_026,outer_behavior,mixed,"评估工作成果时，你最看重什么？","When evaluating work results, what do you value most?",0.7,0.8,"li,kan,gen,dui",exploration,complex,"目标达成度和质量","Goal achievement and quality","过程的规范性和效率","Process standardization and efficiency","创新性和突破性","Innovation and breakthrough","团队协作和成长","Team collaboration and growth",0.6,0.4,0.6,0.5,0.6,0.8,0.5,0.5,0.4,0.7,0.4,0.6,0.6,0.6,0.7,0.6,0.6,0.4,0.7,0.5,0.8,0.6,0.6,0.5,0.4,0.7,0.6,0.8,0.7,0.8,0.7,0.8
outer_027,outer_behavior,mixed,"在职业发展中，你的策略是？","What is your strategy in career development?",0.8,0.9,"qian,xun,kan,dui",discrimination,complex,"设定明确目标，努力攀登","Set clear goals and strive to climb","保持灵活性，适应变化","Maintain flexibility and adapt to change","深度专精，成为专家","Deep specialization and become an expert","广泛学习，全面发展","Broad learning and comprehensive development",0.8,0.3,0.6,0.4,0.5,0.6,0.4,0.4,0.4,0.6,0.4,0.8,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.8,0.5,0.9,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.6,0.9
outer_028,outer_behavior,mixed,"在团队协作中，你的贡献通常是？","What is your usual contribution in team collaboration?",0.7,0.8,"kun,zhen,li,gen",discrimination,medium,"提供专业技能和知识","Provide professional skills and knowledge","协调沟通，促进合作","Coordinate communication and promote cooperation","创新思维，提出新想法","Innovative thinking and proposing new ideas","稳定支持，确保执行","Stable support and ensure execution",0.5,0.6,0.6,0.5,0.6,0.8,0.6,0.5,0.4,0.8,0.4,0.6,0.6,0.6,0.7,0.6,0.6,0.4,0.7,0.5,0.8,0.6,0.6,0.5,0.4,0.7,0.6,0.8,0.7,0.8,0.8,0.7
outer_029,outer_behavior,mixed,"面对工作挫折时，你的应对方式是？","How do you cope when facing work setbacks?",0.8,0.9,"qian,kun,li,kan",confirmation,complex,"分析原因，重新规划","Analyze reasons and replan","接受现实，调整期望","Accept reality and adjust expectations","深入思考，寻求智慧","Think deeply and seek wisdom","寻求支持，共同面对","Seek support and face together",0.7,0.3,0.6,0.4,0.5,0.7,0.4,0.4,0.3,0.8,0.4,0.5,0.4,0.4,0.6,0.5,0.5,0.4,0.7,0.5,0.6,0.9,0.5,0.5,0.4,0.6,0.5,0.7,0.6,0.8,0.9,0.7
outer_030,outer_behavior,mixed,"在工作中，你最希望获得什么样的反馈？","What kind of feedback do you most hope to receive at work?",0.9,1.0,"all_types",confirmation,complex,"具体的改进建议","Specific improvement suggestions","积极的鼓励和认可","Positive encouragement and recognition","深入的分析和洞察","In-depth analysis and insights","温暖的关怀和支持","Warm care and support",0.6,0.4,0.6,0.5,0.6,0.7,0.5,0.6,0.4,0.7,0.4,0.6,0.5,0.5,0.7,0.8,0.6,0.4,0.7,0.5,0.8,0.6,0.5,0.5,0.4,0.7,0.6,0.8,0.7,0.8,0.7,0.9
